iter	Logloss	Accuracy	Recall	F1
0	0.5094330117	0.8163800815	0.8292573312	0.8274135386
1	0.4411217706	0.8196203161	0.8408673832	0.8318944755
2	0.4105520956	0.8222443097	0.8261488334	0.8314738032
3	0.3832936321	0.8355630653	0.8709037115	0.8489959839
4	0.3614649216	0.8411688699	0.8689562189	0.8531087988
5	0.3409916631	0.8515654508	0.8776075802	0.862569709
6	0.3327783982	0.8531955074	0.8769709	0.8637881107
7	0.330380663	0.8536924759	0.8788809408	0.8644417431
8	0.3220187336	0.8562568333	0.8804539156	0.8667072204
9	0.3191420444	0.8584633734	0.8845736115	0.8690165201
10	0.3146798006	0.8599145214	0.8846110633	0.8701899166
11	0.3129052054	0.8605307623	0.8867458148	0.870958249
12	0.3105321078	0.8613259119	0.8848732257	0.8713627144
13	0.3093003763	0.8615445781	0.8829257331	0.8712926176
14	0.3086009775	0.8626379088	0.8891427287	0.8729592587
15	0.3009627296	0.8660769307	0.8899292161	0.8758408433
16	0.2979789288	0.8681045622	0.8912400285	0.8776484907
17	0.2956518061	0.869953285	0.8892550841	0.878919119
18	0.2950141048	0.8704303747	0.8888056627	0.8792560483
19	0.2942060488	0.8710664944	0.8935620389	0.8803409342
20	0.2936188749	0.8719411589	0.8933373282	0.8810297703
21	0.2913661775	0.8728754597	0.8938616531	0.8818563062
22	0.2902353862	0.8733923069	0.8940863638	0.8823061998
23	0.2889094035	0.8741278203	0.8948353994	0.8829964152
24	0.2872327707	0.8749627274	0.8951724655	0.8837209302
25	0.2861025293	0.875141636	0.8946481405	0.8838078325
26	0.2833006889	0.8768512076	0.8949852065	0.8852544037
27	0.2814677025	0.8778053871	0.8952099172	0.8860675032
28	0.2812523194	0.878123447	0.8947979476	0.8862839655
29	0.2801659617	0.8786601729	0.8949477548	0.8867448419
30	0.2770822761	0.880489017	0.8963709224	0.8884187082
31	0.2754510509	0.8811648941	0.8968577956	0.889033264
32	0.2695255232	0.8838684027	0.8993670649	0.8915537405
33	0.2693497525	0.8840075539	0.8999288416	0.8917299093
34	0.2679943794	0.8845442799	0.900378263	0.8922249026
35	0.2663355273	0.884762946	0.9004531665	0.8924150474
36	0.2660057244	0.8849020972	0.9006404255	0.8925509409
37	0.2653028007	0.885299672	0.9005655219	0.8928743827
38	0.2635451232	0.8866315476	0.9016890753	0.89410454
39	0.2629399299	0.8870291224	0.9025879181	0.8945307425
40	0.261478481	0.8881025743	0.9035616644	0.8955290362
41	0.2580638604	0.889653116	0.903786375	0.8968503205
42	0.2569915085	0.889732631	0.9041234411	0.8969514574
43	0.2569046122	0.8899115396	0.9041608929	0.8971052729
44	0.2564939074	0.8899711758	0.904984832	0.8972392923
45	0.2561819117	0.8902494782	0.9045728624	0.8974306575
46	0.2553389576	0.8904482656	0.9049473802	0.8976354552
47	0.255316346	0.8905277805	0.9050222838	0.8977097535
48	0.2546952852	0.8908855979	0.9044230553	0.8979493186
49	0.2537603652	0.8915217175	0.9050222838	0.8985442579
50	0.2532882561	0.8917205049	0.9047975731	0.898688738
51	0.2530316566	0.8917403837	0.904984832	0.8987242905
52	0.2527418224	0.8917602624	0.9050971874	0.8987523011
53	0.2503355435	0.8933306828	0.9066701622	0.9002305518
54	0.2494163996	0.8939071663	0.9065578068	0.9007051294
55	0.2494071139	0.8939469238	0.9064454515	0.9007275637
56	0.2473261124	0.8955571017	0.9072319389	0.9021637928
57	0.2451320299	0.8965311599	0.9080184263	0.9030636
58	0.2439009316	0.8972070371	0.9083929441	0.9036716902
59	0.2433299976	0.8973859457	0.9090296244	0.9038841098
60	0.242870447	0.897366067	0.9087674619	0.9038422141
61	0.2414495775	0.8983003678	0.9092917868	0.904683832
62	0.2411573868	0.8984395189	0.9092917868	0.9048018335
63	0.2411445448	0.8984593977	0.9093292386	0.9048222404
64	0.2411377471	0.8985389126	0.9094041422	0.9048967728
65	0.2395888177	0.8994135772	0.9097037564	0.9056674124
66	0.2394487878	0.8994334559	0.90977866	0.9056913297
67	0.2381776992	0.9004273929	0.910452792	0.9065990416
68	0.2380291909	0.9005466653	0.9107524063	0.9067283134
69	0.2367249724	0.901182785	0.9109022134	0.9072834095
70	0.2365320372	0.9012821787	0.9106775027	0.9073472891
71	0.2353023014	0.9020375708	0.9110894723	0.9080288156
72	0.2337097333	0.9029519928	0.9114639901	0.9088430801
73	0.232701627	0.9035881125	0.9117261526	0.9094101386
74	0.2322855536	0.9036477487	0.9116887008	0.9094577177
